timestamp,component,rcd_uS,frm_nm,frm_sz_b,cmp_ltnc_uS,ntwrk_lt_uS,snt_uS,done_uS,recv_btRt_Mbps
1758853946804882,1,-110700.0,1,10061570.0,110697.0,100.0,,1.0,-1.0061570000000001e-92
1758853946916933,1,1351.0,2,9760940.0,118620.0,97.0,,119975.0,87.11158311840144
1758853946917255,2,-117510.0,1,10737610.0,117507.0,107.0,,1.0,-1.073761e-92
1758853947037236,1,121654.0,3,11021660.0,124887.0,110.0,,246545.0,91.61583667905205
1758853947037629,2,2864.0,2,10737610.0,121733.0,107.0,,124601.0,89.20207021449815
1758853947163262,1,247680.0,4,11200790.0,132405.0,112.0,,380089.0,88.87681906908098
1758853947163501,2,128736.0,3,10737610.0,120392.0,107.0,,249132.0,85.3057868310665
1758853947296791,1,381209.0,5,9075570.0,98170.0,90.0,,479383.0,67.96703337851703
1758853947296975,2,262210.0,4,10737610.0,113872.0,107.0,,376086.0,80.44720320062335
1758853947396169,1,480587.0,6,8720090.0,93100.0,87.0,,573691.0,87.74668437682384
1758853947411866,2,377101.0,5,10737610.0,115199.0,107.0,,492304.0,93.45910471664448
1758853947490505,1,574923.0,7,9923760.0,108761.0,99.0,,683688.0,105.19589552238807
1758853947528100,2,493335.0,6,10737610.0,120459.0,107.0,,613798.0,92.37925219815202
1758853947600360,1,684778.0,8,9577520.0,116112.0,95.0,,800894.0,87.18328706021575
1758853947649575,2,614810.0,7,10737610.0,117282.0,107.0,,732096.0,88.39357892570487
1758853947717656,1,802074.0,9,11138260.0,122202.0,111.0,,924280.0,94.95856636202427
1758853947767907,2,733142.0,8,10737610.0,121628.0,107.0,,854774.0,90.74138863536491
1758853947840545,1,924963.0,10,10663300.0,114789.0,106.0,,1039756.0,86.77180219547722
1758853947890559,2,855794.0,9,10737610.0,114065.0,107.0,,969863.0,87.54533150702802
1758853947956514,1,1040932.0,11,11224140.0,127979.0,112.0,,1168915.0,96.78569272822911
1758853948005640,2,970875.0,10,10737610.0,118343.0,107.0,,1089222.0,93.30480270418228
1758853948085673,1,1170091.0,12,9187590.0,103137.0,91.0,,1273232.0,71.13395117645693
1758853948124995,2,1090230.0,11,10737610.0,137748.0,107.0,,1227982.0,89.96363788697583
1758853948189917,1,1274335.0,13,10433890.0,129699.0,104.0,,1404038.0,100.09103641456583
1758853948263766,2,1229001.0,12,10737610.0,122528.0,107.0,,1351533.0,77.37646914701199
1758853948320689,1,1405107.0,14,9524530.0,109825.0,95.0,,1514936.0,72.8330988284954
1758853948386536,2,1351771.0,13,10737610.0,125623.0,107.0,,1477398.0,87.46118758654396
1758853948431666,1,1516084.0,15,12010880.0,140780.0,120.0,,1656868.0,108.22855186209756
1758853948512435,2,1477670.0,14,10737610.0,138338.0,107.0,,1616012.0,85.28749235498297
1758853948573202,1,1657620.0,16,10545130.0,117022.0,105.0,,1774646.0,74.50493160750622
1758853948651058,2,1616293.0,15,10737610.0,119011.0,107.0,,1735308.0,77.45907966210514
1758853948691331,1,1775749.0,17,10730720.0,130809.0,107.0,,1906562.0,90.83899804451066
1758853948770321,2,1735556.0,16,10737610.0,128698.0,107.0,,1864258.0,90.03303623085115
1758853948823279,1,1907697.0,18,9719230.0,106562.0,97.0,,2014263.0,73.65954770060934
1758853948899262,2,1864497.0,17,10737610.0,134872.0,107.0,,1999373.0,83.27537400826735
1758853948930947,1,2015365.0,19,10662750.0,135064.0,106.0,,2150433.0,99.03360329903035
1758853949034388,2,1999623.0,18,10737610.0,115331.0,107.0,,2114958.0,79.46368574515637
1758853949066619,1,2151037.0,20,8916790.0,94282.0,89.0,,2245323.0,65.72314110501799
1758853949149969,2,2115204.0,19,10737610.0,129194.0,107.0,,2244402.0,92.90116887723762
1758853949161939,1,2246357.0,21,10011110.0,113653.0,100.0,,2360014.0,105.02633235417541
1758853949276134,1,2360552.0,22,8429950.0,90623.0,84.0,,2451179.0,73.82065764700732
1758853949279443,2,2244678.0,20,10737610.0,125670.0,107.0,,2370352.0,82.93255788807019
1758853949367916,1,2452334.0,23,9852910.0,115986.0,98.0,,2568324.0,107.35122355145889
1758853949405378,2,2370613.0,21,10737610.0,116546.0,107.0,,2487163.0,85.26311192281733
1758853949484472,1,2568890.0,24,9908180.0,121968.0,99.0,,2690862.0,85.00789320155118
1758853949522184,2,2487419.0,22,10737610.0,127246.0,107.0,,2614669.0,91.92687019502424
1758853949607518,1,2691936.0,25,10584400.0,113982.0,105.0,,2805922.0,86.01986249045072
1758853949649675,2,2614910.0,23,10737610.0,125982.0,107.0,,2740896.0,84.22249413684104
1758853949722516,1,2806934.0,26,8622000.0,93081.0,86.0,,2900019.0,74.97521696029497
1758853949775899,2,2741134.0,24,10737610.0,116421.0,107.0,,2857559.0,85.06789517049056
1758853949816655,1,2901073.0,27,8613270.0,112591.0,86.0,,3013668.0,91.49523576838504
1758853949892576,2,2857811.0,25,10737610.0,113030.0,107.0,,2970845.0,92.0285060466073
1758853949930310,1,3014728.0,28,11781600.0,131814.0,117.0,,3146546.0,103.6610795829484
1758853950005886,2,2971121.0,26,10737610.0,133170.0,107.0,,3104295.0,94.76312770276233
1758853950062831,1,3147249.0,29,8787250.0,97076.0,87.0,,3244329.0,66.30835867522883
1758853950139324,2,3104559.0,27,10737610.0,115301.0,107.0,,3219864.0,80.46890690807716
1758853950160965,1,3245383.0,30,9859910.0,110951.0,98.0,,3356338.0,100.47394379114272
1758853950254870,2,3220105.0,28,10737610.0,118557.0,107.0,,3338666.0,92.92930953905804
1758853950272474,1,3356892.0,31,9724420.0,109448.0,97.0,,3466344.0,87.2074899783874
1758853950373666,2,3338901.0,29,10737610.0,114161.0,107.0,,3453066.0,90.38696589110745
1758853950382994,1,3467412.0,32,10988610.0,124206.0,109.0,,3591622.0,99.42643865363735
1758853950488083,2,3453318.0,30,10737610.0,116500.0,107.0,,3569822.0,93.84628158403035
1758853950507895,1,3592313.0,33,9592230.0,109427.0,95.0,,3701744.0,76.79866454231751
1758853950604829,2,3570064.0,31,10737610.0,123844.0,107.0,,3693912.0,91.97411474483067
1758853950618451,1,3702869.0,34,9142450.0,96207.0,91.0,,3799080.0,82.6951951951952
1758853950715705,1,3800123.0,35,9345680.0,101957.0,93.0,,3902084.0,96.09558475743928
1758853950728914,2,3694149.0,32,10737610.0,129200.0,107.0,,3823353.0,86.53431115767418
1758853950818777,1,3903195.0,36,9962770.0,105092.0,99.0,,4008291.0,96.6583553244334
