timestamp,component,snt_uS,frm_nm,frm_sz_b,rcd_uS,send_btRt_Mbps
1758853946915582,1,0.0,1,10061570.0,10737410.0,-1.0061570000000001e-92
1758853947034765,2,0.0,1,10737610.0,10737410.0,-1.073761e-92
1758853947035556,1,119974.0,2,9760940.0,10737410.0,81.35879440545452
1758853947159365,2,124600.0,2,10737610.0,10737410.0,86.17664526484752
1758853947162126,1,246544.0,3,11021660.0,10737410.0,87.07956071738958
1758853947283896,2,249131.0,3,10737610.0,10737410.0,86.22439392601039
1758853947295670,1,380088.0,4,11200790.0,10737410.0,83.87340502006829
1758853947394964,1,479382.0,5,9075570.0,10737410.0,91.40099099643483
1758853947410850,2,376085.0,4,10737610.0,10737410.0,84.57874505726485
1758853947489272,1,573690.0,6,8720090.0,10737410.0,92.46394791534122
1758853947527068,2,492303.0,5,10737610.0,10737410.0,92.39197026278202
1758853947599269,1,683687.0,7,9923760.0,10737410.0,90.21846050346828
1758853947648562,2,613797.0,6,10737610.0,10737410.0,88.37975537886645
1758853947716475,1,800893.0,8,9577520.0,10737410.0,81.71527054928929
1758853947766860,2,732095.0,7,10737610.0,10737410.0,90.7674685962569
1758853947839861,1,924279.0,9,11138260.0,10737410.0,90.27166777430178
1758853947889538,2,854773.0,8,10737610.0,10737410.0,87.52677741730383
1758853947955337,1,1039755.0,10,10663300.0,10737410.0,92.34213169836157
1758853948004627,2,969862.0,9,10737610.0,10737410.0,93.29831695470462
1758853948084496,1,1168914.0,11,11224140.0,10737410.0,86.90172577985274
1758853948123986,2,1089221.0,10,10737610.0,10737410.0,89.96062299449561
1758853948188813,1,1273231.0,12,9187590.0,10737410.0,88.07375595540516
1758853948262746,2,1227981.0,11,10737610.0,10737410.0,77.38260305563563
1758853948319619,1,1404037.0,13,10433890.0,10737410.0,79.76614222589177
1758853948386297,2,1351532.0,12,10737610.0,10737410.0,86.90832126004646
1758853948430517,1,1514935.0,14,9524530.0,10737410.0,85.88549838590417
1758853948512162,2,1477397.0,13,10737610.0,10737410.0,85.31053112461764
1758853948572449,1,1656867.0,15,12010880.0,10737410.0,84.62418623002564
1758853948650776,2,1616011.0,14,10737610.0,10737410.0,77.46410896446247
1758853948690227,1,1774645.0,16,10545130.0,10737410.0,89.53395370952131
1758853948770072,2,1735307.0,15,10737610.0,10737410.0,90.00813103540773
1758853948822143,1,1906561.0,17,10730720.0,10737410.0,81.34509839594894
1758853948899022,2,1864257.0,16,10737610.0,10737410.0,83.26956184567663
1758853948929844,1,2014262.0,18,9719230.0,10737410.0,90.24270898134651
1758853949034137,2,1999372.0,17,10737610.0,10737410.0,79.47015505310293
1758853949066014,1,2150432.0,19,10662750.0,10737410.0,78.30469266358229
1758853949149722,2,2114957.0,18,10737610.0,10737410.0,92.89795388675002
1758853949160904,1,2245322.0,20,8916790.0,10737410.0,93.96975445252396
1758853949275595,1,2360013.0,21,10011110.0,10737410.0,87.28766860520878
1758853949279166,2,2244401.0,19,10737610.0,10737410.0,82.95177837520473
1758853949366760,1,2451178.0,22,8429950.0,10737410.0,92.46914934459497
1758853949405116,2,2370351.0,20,10737610.0,10737410.0,85.25295752282652
1758853949483905,1,2568323.0,23,9852910.0,10737410.0,84.10866874386444
1758853949521927,2,2487162.0,21,10737610.0,10737410.0,91.92293533999367
